"","ID","RegionName","NVotes","Leave","Residents","Households","AdultMeanAge","White","Owned","OwnedOutright","SocialRent","PrivateRent","Students","Unemp","UnempRate_EA","HigherOccup","Density","Deprived","MultiDepriv","Proportion","Vote","Age_18to44","Age_45_above","non_white","high_education_level","low_education_level"
"1",1,"WM",9656,2793,30258,15726,34.2,49.4,21.5,7.4,29.2,46.3,23.2,7,9.9,47.9,54.5,67.9,24.6,0.289250207125104,"Remain",69.8,17.7,56.6,45.8,12.8
"2",2,"L",6022,905,14489,5647,42.2,39.1,19.4,7.1,46.9,28.9,9.1,10.1,16.3,19,78.9,81.2,46.8,0.150282298239787,"Remain",42.7,27.3,55.1,20.2,29.2
"6",6,"EE",2550,1138,5069,2148,48.6,93.1,81.5,31.8,4.8,12,3,2.2,2.8,41.3,2.1,44.1,12.9,0.446274509803922,"Remain",34.8,46,7.5,34.9,13.7
"8",8,"WM",15148,7519,24125,10198,52.4,89.3,84.8,35.8,5.8,8.4,3,3,4.2,49.9,17.2,47.9,16.7,0.496369157644574,"Remain",29,49.6,15.4,37.8,16.9
"11",11,"EE",5279,2587,9547,3779,45.6,79.7,67.7,20,16.8,13.7,4.8,3.3,4.4,41.8,19.1,50.8,18.6,0.490054934646713,"Remain",39.1,36.4,20.6,32,16.7
"12",12,"NW",3150,1499,6780,2442,45,43.5,68.9,38.3,15.5,13.8,5.7,5.5,9.4,17.8,21.9,71.4,37.2,0.475873015873016,"Remain",38.1,31.9,106.2,15.2,34.2
"13",13,"L",3961,1648,11184,3487,44.4,26.6,60.9,25.9,12.1,24.8,8.4,4.9,7,26.4,89.5,69.6,32.4,0.416056551375915,"Remain",42.6,36.3,118.3,27.6,23.4
"16",16,"L",6471,1288,16854,7158,39.6,37.9,15.7,4.3,58.9,22.9,9.6,8.7,11.9,36.1,143,70.9,34.2,0.199041879153145,"Remain",50.6,25.3,57.5,36.8,17.6
"18",18,"L",7401,3375,16638,7870,43,51.3,38.9,15.4,14.7,43.1,5.3,5.5,7.3,48.7,45.3,59,22.8,0.456019456830158,"Remain",50.5,30.2,62.6,45.9,12.3
"24",24,"L",3916,1565,12321,4618,44.6,47.4,52.7,19.2,11.7,31.4,7.5,4.2,6,45.3,35.3,54.1,21.4,0.399642492339122,"Remain",41.8,33.1,69.8,41.8,13.3
